changepoint_prior_scale,seasonality_prior_scale,mape - 1yr,mape - 1mo,mape - 1wk,mape - avg
0.001,0.01,0.4049785392126205,0.3562233451088755,0.3562233451088755,0.3724750764767905
0.001,0.1,0.3800587117977142,0.3351002852338671,0.3351002852338671,0.3500864274218161
0.001,1.0,0.3858481427335386,0.3401712793007089,0.3401712793007089,0.3553969004449855
0.001,10.0,0.39937634496199914,0.35522023604148617,0.35522023604148617,0.36993893901499053
0.01,0.01,0.255733028454861,0.22486265313866105,0.22486265313866105,0.23515277824406103
0.01,0.1,0.26466841368211813,0.23168446372477822,0.23168446372477822,0.2426791137105582
0.01,1.0,0.26280944594082567,0.23172977583016616,0.23172977583016616,0.2420896658670527
0.01,10.0,0.2677702274439828,0.2360483104895541,0.2360483104895541,0.24662228280769702
0.1,0.01,0.09541152960116382,0.08661465270889185,0.08661465270889185,0.08954694500631584
0.1,0.1,0.11917253554312415,0.10524204095186279,0.10524204095186279,0.1098855391489499
0.1,1.0,0.12041264796221321,0.10799764933392345,0.10799764933392345,0.11213598221002004
0.1,10.0,0.11987786443838375,0.109122879857776,0.109122879857776,0.11270787471797857
0.5,0.01,0.14229477690731543,0.1290477495767345,0.1290477495767345,0.13346342535359482
0.5,0.1,0.19510879757125202,0.17095321595284693,0.17095321595284693,0.1790050764923153
0.5,1.0,0.2009664848143641,0.17750106600066512,0.17750106600066512,0.18532287227189811
0.5,10.0,0.19908297780932735,0.17527245036527164,0.17527245036527164,0.18320929284662354
